File = D:\moldex3D\Ray_project_0802\Report\XYPlot\保壓-壓力14.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,保壓-壓力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組別 14 : Pp:70 MPa_Pt:1.1 s. (MPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),runner_core ,Time (sec),SN18_core ,Time (sec),SN11_core ,Time (sec),SN4_core ,Time (sec),SN21 ,Time (sec),SN20 ,Time (sec),SN19 ,Time (sec),SN18 ,Time (sec),SN17 ,Time (sec),SN16 ,Time (sec),SN15 ,Time (sec),SN14 ,Time (sec),SN13 ,Time (sec),SN12 ,Time (sec),SN11 ,Time (sec),SN10 ,Time (sec),SN9 ,Time (sec),SN8 ,Time (sec),SN7 ,Time (sec),SN6 ,Time (sec),SN5 ,Time (sec),SN4 ,Time (sec),SN3 ,Time (sec),SN2 ,Time (sec),SN1 ,Time (sec),gate,Time (sec),runner ,Time (sec),sprue
0.324473,0.0631032,1.49447,0.0114259,1.1528,0.305398,0.893815,0.0357357,1.69397,0.11231,1.69397,0.124629,1.69397,0.0971367,1.49447,0,1.33429,0.0179204,1.33429,0.0499152,1.33429,0.0231977,1.23297,0.882203,1.23297,1.05202,1.23297,0.849198,1.1528,0.240737,1.08655,0.629566,1.08655,0.715167,1.08655,0.609567,1.02169,0.0130608,1.02169,0.00732347,1.04041,0.322245,0.893815,0.00764438,0.794592,0,0.764631,0.000825508,0.794592,0,0.731265,0.136488,0.3409,0.424268,0.0162609,1.83813
0.3409,0.424004,1.51073,0.0786953,1.1688,1.83781,0.912586,0.282953,1.72505,1.08346,1.72505,1.89074,1.72505,0.80688,1.51073,0.0442471,1.35094,0.162079,1.35094,0.234724,1.35094,0.146387,1.24969,2.4437,1.24969,2.55605,1.24969,2.4099,1.1688,1.83243,1.10492,2.51821,1.10492,2.57406,1.10492,2.50163,1.04041,0.337048,1.04041,0.394865,1.05742,0.688485,0.912586,0.282132,0.814152,0.321678,0.780415,0.333576,0.814152,0.323279,0.746089,0.441525,0.357403,0.768461,0.0332611,7.24458
0.357403,0.774873,1.52632,0.216086,1.1848,3.53074,0.926738,0.545482,1.73363,25.6653,1.73363,25.5045,1.73363,25.8082,1.52632,0.218455,1.36702,0.28593,1.36702,0.364525,1.36702,0.271397,1.2676,3.11749,1.2676,3.18645,1.2676,3.09995,1.1848,3.52471,1.12085,4.29985,1.12085,4.35093,1.12085,4.28285,1.05742,0.715773,1.05742,0.840875,1.07106,2.32511,0.926738,0.545169,0.828254,0.670591,0.794592,0.563154,0.828254,0.665203,0.764631,0.817903,0.373891,1.10683,0.0488792,10.1724
0.373891,1.11378,1.54163,0.33573,1.20081,5.45173,0.940945,0.812154,1.74349,38.8015,1.74349,38.795,1.74349,38.808,1.54163,0.338366,1.38284,0.410322,1.38284,0.49105,1.38284,0.392213,1.28107,3.47504,1.28107,3.54099,1.28107,3.45401,1.20081,5.44515,1.1368,6.27787,1.1368,6.32324,1.1368,6.26205,1.07106,2.34776,1.07106,2.39642,1.08655,4.0492,0.940945,0.811837,0.846942,1.08036,0.814152,0.899046,0.846942,1.07156,0.780415,1.10889,0.390404,1.45039,0.0651427,11.0512
0.390404,1.45736,1.557,0.454033,1.21685,7.59305,0.959886,1.18903,1.75482,50.1459,1.75482,50.1447,1.75482,50.1432,1.557,0.456653,1.39853,0.535497,1.39853,0.620026,1.39853,0.512482,1.29796,3.97561,1.29796,4.04822,1.29796,3.95148,1.21685,7.58597,1.1528,8.47217,1.1528,8.51216,1.1528,8.45607,1.08655,4.06689,1.08655,4.09091,1.10492,6.21563,0.959886,1.18876,0.860984,1.38073,0.828254,1.16903,0.860984,1.36998,0.794592,1.34861,0.406846,1.79514,0.0818951,11.924
0.406846,1.80189,1.58064,0.63006,1.23297,9.9497,0.974125,1.48037,1.76786,59.0635,1.76786,59.0654,1.76786,59.0607,1.58064,0.632702,1.41409,0.668976,1.41409,0.757481,1.41409,0.643254,1.31802,4.57068,1.31802,4.6746,1.31802,4.54296,1.23297,9.94225,1.1688,10.8578,1.1688,10.893,1.1688,10.8386,1.10492,6.23028,1.10492,6.24581,1.12085,8.27844,0.974125,1.48011,0.879762,1.79288,0.846942,1.53562,0.879762,1.78358,0.814152,1.73611,0.423272,2.13652,0.097679,12.6669
0.423272,2.14299,1.59635,0.757431,1.24969,12.5063,0.993132,1.8858,1.78286,64.4633,1.78286,64.466,1.78286,64.4596,1.59635,0.760065,1.42949,0.772985,1.42949,0.86798,1.42949,0.746847,1.33429,5.01481,1.33429,5.12056,1.33429,4.98446,1.24969,12.4986,1.1848,13.4027,1.1848,13.4331,1.1848,13.3822,1.12085,8.29308,1.12085,8.30548,1.1368,10.525,0.993132,1.88559,0.893815,2.10349,0.860984,1.8216,0.893815,2.09198,0.828254,2.03761,0.439693,2.47111,0.114229,13.2542
0.439693,2.47733,1.61255,0.905247,1.2676,14.2834,1.00741,2.20184,1.8001,67.0415,1.8001,67.0463,1.8001,67.0383,1.61255,0.907973,1.44537,0.894269,1.44537,0.994976,1.44537,0.864891,1.35094,5.41829,1.35094,5.53324,1.35094,5.39032,1.2676,14.2754,1.20081,16.0948,1.20081,16.1209,1.20081,16.0737,1.1368,10.5389,1.1368,10.5487,1.1528,12.9641,1.00741,2.20164,0.912586,2.52905,0.879762,2.22499,0.912586,2.51626,0.846942,2.43735,0.454058,2.76359,0.13094,13.7021
0.454058,2.76948,1.62802,1.03086,1.28107,15.3692,1.02169,2.5268,1.81994,67.9187,1.81994,67.9248,1.81994,67.9162,1.62802,1.03363,1.46165,1.00465,1.46165,1.10941,1.46165,0.975369,1.36702,5.75351,1.36702,5.88041,1.36702,5.72381,1.28107,15.361,1.21685,18.9251,1.21685,18.9461,1.21685,18.9032,1.1528,12.9777,1.1528,12.9842,1.1688,15.5594,1.02169,2.52661,0.926738,2.86059,0.893815,2.53318,0.926738,2.8469,0.860984,2.74484,0.470779,3.06516,0.147824,14.0691
0.470779,3.07076,1.69397,1.63073,1.29796,16.802,1.04041,2.97491,1.84274,68.0016,1.84274,68.0083,1.84274,68.0004,1.69397,1.63362,1.47833,1.14203,1.47833,1.254,1.47833,1.10877,1.38284,6.05137,1.38284,6.19075,1.38284,6.01874,1.29796,16.7936,1.23297,21.8999,1.23297,21.9147,1.23297,21.8779,1.1688,15.5733,1.1688,15.5757,1.1848,18.2847,1.04041,2.97475,0.940945,3.19906,0.912586,2.95857,0.940945,3.18478,0.879762,3.17427,0.48713,3.20761,0.164742,14.2835
