File = D:\moldex3D\Ray_project_0802_2\Ray_project_0802\Ray_project_0802\Report\XYPlot\保壓-壓力37.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,保壓-壓力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組別 13 : Pp:100 MPa_Pt:0.9 s. (MPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),runner_core ,Time (sec),SN18_core ,Time (sec),SN11_core ,Time (sec),SN4_core ,Time (sec),SN21 ,Time (sec),SN20 ,Time (sec),SN19 ,Time (sec),SN18 ,Time (sec),SN17 ,Time (sec),SN16 ,Time (sec),SN15 ,Time (sec),SN14 ,Time (sec),SN13 ,Time (sec),SN12 ,Time (sec),SN11 ,Time (sec),SN10 ,Time (sec),SN9 ,Time (sec),SN8 ,Time (sec),SN7 ,Time (sec),SN6 ,Time (sec),SN5 ,Time (sec),SN4 ,Time (sec),SN3 ,Time (sec),SN2 ,Time (sec),SN1 ,Time (sec),gate,Time (sec),runner ,Time (sec),sprue
0.3409,0.424261,1.15274,0.289665,1.15274,0.289665,0.893716,0.0350239,1.69395,0.112716,1.69395,0.121618,1.69395,0.0976964,1.49375,0,1.33433,0.0167581,1.33433,0.0534811,1.33433,0.0173972,1.23298,0.880026,1.23298,1.05366,1.23298,0.847643,1.15274,0.224441,1.08644,0.620358,1.08644,0.716239,1.08644,0.59894,1.02161,0.012825,1.02161,0.00773895,1.04034,0.32189,0.893716,0.00383286,0.794644,0,0.76463,0.000825825,0.794644,0,0.731264,0.136489,0.3409,0.424261,0.0162609,1.83811
0.357403,0.768462,1.16876,1.83863,1.16876,1.83863,0.912459,0.280892,1.72523,1.62305,1.72523,2.86125,1.72523,1.20145,1.51002,0.0410119,1.35098,0.161289,1.35098,0.23493,1.35098,0.147925,1.24968,2.44272,1.24968,2.55572,1.24968,2.40902,1.16876,1.83331,1.10486,2.50885,1.10486,2.56782,1.10486,2.49145,1.04034,0.335577,1.04034,0.393761,1.05735,0.684505,0.912459,0.279887,0.814218,0.321766,0.780414,0.333576,0.814218,0.324837,0.746089,0.441524,0.357403,0.768462,0.033261,7.24446
0.373891,1.10683,1.18475,3.52655,1.18475,3.52655,0.926621,0.541927,1.73381,28.062,1.73381,27.9104,1.73381,28.1777,1.52561,0.210558,1.36705,0.285959,1.36705,0.364499,1.36705,0.272371,1.26759,3.11671,1.26759,3.18502,1.26759,3.09672,1.18475,3.52062,1.12077,4.29246,1.12077,4.34609,1.12077,4.27491,1.05735,0.709974,1.05735,0.832484,1.07095,2.31519,0.926621,0.541624,0.828323,0.671783,0.794644,0.562137,0.828323,0.66854,0.76463,0.817902,0.373891,1.10683,0.048879,10.1722
0.390403,1.45039,1.20076,5.4472,1.20076,5.4472,0.94081,0.808065,1.74367,43.6117,1.74367,43.6038,1.74367,43.618,1.5409,0.333713,1.38288,0.410572,1.38288,0.491246,1.38288,0.392881,1.28108,3.4756,1.28108,3.54223,1.28108,3.45591,1.20076,5.4407,1.13676,6.27155,1.13676,6.31858,1.13676,6.25566,1.07095,2.34069,1.07095,2.38942,1.08644,4.04248,0.94081,0.807791,0.847015,1.08114,0.814218,0.89958,0.847015,1.07178,0.780414,1.10889,0.390403,1.45039,0.0651425,11.051
0.406845,1.79514,1.21689,7.59482,1.21689,7.59482,0.959761,1.18627,1.75501,56.5441,1.75501,56.5405,1.75501,56.5391,1.56401,0.515782,1.39857,0.540505,1.39857,0.624643,1.39857,0.517997,1.29794,3.97566,1.29794,4.04859,1.29794,3.95221,1.21689,7.58781,1.15274,8.46423,1.15274,8.5053,1.15274,8.44791,1.08644,4.05967,1.08644,4.08493,1.10486,6.20676,0.959761,1.18604,0.861053,1.38377,0.828323,1.17105,0.861053,1.37161,0.794644,1.3471,0.406845,1.79514,0.0818948,11.9238
0.423271,2.13652,1.23298,9.95168,1.23298,9.95168,0.974021,1.47759,1.76805,67.3507,1.76805,67.3531,1.76805,67.3464,1.57932,0.622352,1.41404,0.669449,1.41404,0.758405,1.41404,0.644077,1.31804,4.57113,1.31804,4.67336,1.31804,4.54381,1.23298,9.94429,1.16876,10.8537,1.16876,10.8898,1.16876,10.8344,1.10486,6.22175,1.10486,6.23807,1.12077,8.2709,0.974021,1.47735,0.879681,1.79375,0.847015,1.53646,0.879681,1.78387,0.814218,1.73663,0.423271,2.13652,0.0976786,12.6666
0.439693,2.47111,1.24968,12.504,1.24968,12.504,0.993037,1.88301,1.78304,74.6115,1.78304,74.615,1.78304,74.6064,1.59548,0.764752,1.42979,0.784774,1.42979,0.878604,1.42979,0.756212,1.33433,5.01468,1.33433,5.12035,1.33433,4.9853,1.24968,12.4963,1.18475,13.3972,1.18475,13.4283,1.18475,13.3767,1.12077,8.28568,1.12077,8.29863,1.13676,10.5192,0.993037,1.88282,0.893716,2.10175,0.861053,1.82404,0.893716,2.09034,0.828323,2.03969,0.439693,2.47111,0.114228,13.2538
0.454058,2.76359,1.26759,14.2808,1.26759,14.2808,1.00733,2.19976,1.80029,78.7317,1.80029,78.7372,1.80029,78.7271,1.61148,0.891908,1.44534,0.888438,1.44534,0.988497,1.44534,0.860435,1.35098,5.41863,1.35098,5.53337,1.35098,5.39105,1.26759,14.2728,1.20076,16.0891,1.20076,16.1156,1.20076,16.0675,1.13676,10.5331,1.13676,10.5434,1.15274,12.9563,1.00733,2.19959,0.912459,2.52707,0.879681,2.2264,0.912459,2.51416,0.847015,2.43818,0.454058,2.76359,0.13094,13.7017
0.470779,3.06516,1.28108,15.3715,1.28108,15.3715,1.02161,2.52466,1.82012,80.7053,1.82012,80.712,1.82012,80.7015,1.62716,1.04639,1.46187,1.02272,1.46187,1.12971,1.46187,0.992135,1.36705,5.75372,1.36705,5.8805,1.36705,5.72449,1.28108,15.3633,1.21689,18.929,1.21689,18.9502,1.21689,18.9062,1.15274,12.9698,1.15274,12.9766,1.16876,15.5548,1.02161,2.5245,0.926621,2.85772,0.893716,2.5318,0.926621,2.84402,0.861053,2.74715,0.470779,3.06516,0.147824,14.0686
0.487129,3.20762,1.29794,16.8032,1.29794,16.8032,1.04034,2.97279,1.84292,81.4328,1.84292,81.4404,1.84292,81.4297,1.69395,1.63569,1.47757,1.14871,1.47757,1.26038,1.47757,1.11592,1.38288,6.05149,1.38288,6.19067,1.38288,6.01909,1.29794,16.7947,1.23298,21.9028,1.23298,21.9181,1.23298,21.8806,1.16876,15.5686,1.16876,15.5714,1.18475,18.2789,1.04034,2.97264,0.94081,3.19614,0.912459,2.9566,0.94081,3.18212,0.879681,3.17624,0.487129,3.20762,0.164742,14.2831
0.504835,3.63234,1.31804,18.3173,1.31804,18.3173,1.05735,3.44514,1.86915,81.4556,1.86915,81.4641,1.86915,81.4533,1.72523,3.33376,1.49375,1.28033,1.49375,1.39901,1.49375,1.24459,1.39857,6.32598,1.39857,6.47859,1.39857,6.2907,1.31804,18.3087,1.24968,25.0728,1.24968,25.0798,1.24968,25.0512,1.18475,18.2925,1.18475,18.2908,1.20076,21.1261,1.05735,3.44497,0.959761,3.66268,0.926621,3.28884,0.959761,3.64709,0.893716,3.49829,0.504835,3.63234,0.181644,14.4347
